NewsId|ResponseId|RecordedDate|word_count|D1|D2|D3|D4|D5.3|Duration|IA_Q1|IA_Q2|IA_Q3|IA_Q4|IA_Q5|GQ1|GQ2|GQ3|GQ4|GQ5|QQ1|QQ2|QQ3|QQ4|QQ5|C35Q1|C35Q2|C35Q3|C35Q4|C35Q5|C4Q1|C4Q2|C4Q3|C4Q4|C4Q5|CLQ1|CLQ2|CLQ3|CLQ4|CLQ5|CSQ1|CSQ2|CSQ3|CSQ4|CSQ5|C35FSQ1|C35FSQ2|C35FSQ3|C35FSQ4|C35FSQ5|C4FSQ1|C4FSQ2|C4FSQ3|C4FSQ4|C4FSQ5|C35ZSQ1|C35ZSQ2|C35ZSQ3|C35ZSQ4|C35ZSQ5|C4ZSQ1|C4ZSQ2|C4ZSQ3|C4ZSQ4|C4ZSQ5|IA_Any|Q_block_number|tagged_order|orig_C35Q1|orig_C35Q2|orig_C35Q3|orig_C35Q4|orig_C35Q5
21|R_4q4B7dhVpYIdKjZ|2024-01-26 12:41:39|346|27/05/2004|Hombre|Bachelor of Business Administration|Si||0 days 00:06:08|False|False|False|False|False|{'madrid'}|1|{'0'}|{'0'}|{'0'}|['madrid']|1|0|0|0|['madrid']|1|0|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['madrid']|1|0|0|0|['madrid']|1|0|0|0|['ninguno']|0|0|0|0|['ninguno']|99|0|0|0|['ninguno']|0|0|0|0|False|2|1|['ninguno']|0|0|0|0
21|R_2cZ6WHiNfdcu1cB|2024-02-11 20:09:19|346|02/10/2005|Hombre|Double degree in Business Administration and AI for Business|Si||0 days 00:10:52|False|False|False|False|False|{'madrid'}|1|{'0'}|{'0'}|{'0'}|['ninguno']|0|0|0|0|['madrid']|1|0|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['madrid']|1|0|0|0|['madrid']|1|0|0|0|['ninguno']|0|0|0|0|['ninguno']|99|99|0|0|['ninguno']|0|0|0|0|False|2|2|['ninguno']|0|0|0|0
44|R_2fvKFfolz89FFWo|2024-01-26 12:41:33|389|29/08/2004|Hombre|Bachelor of Business Administration|No|Más de 1 año pero menos de 2 años|0 days 00:16:31|False|False|False|False|False|{'ninguno'}|0|{'0'}|{'0'}|{'0'}|['andalusia']|1|0|0|0|['ninguno']|99|0|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['ninguno']|99|0|0|0|['ninguno']|0|0|0|0|['ninguno']|99|99|0|0|['ninguno']|0|0|0|0|False|3|1|['ninguno']|99|0|0|0
44|R_5V8fv3Iy3aGONDT|2024-02-16 11:32:55|389|14/03/2004|Mujer|Bachelor of Business Administration|Si||0 days 00:09:11|False|False|False|False|False|{'ninguno'}|0|{'0'}|{'0'}|{'0'}|['ninguno', ' bruselas']|0|0|0|0|['ninguno']|99|0|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['99']|0|0|0|0|['ninguno']|0|0|0|0|['ninguno']|99|99|0|0|['ninguno']|0|0|0|0|False|3|2|['ninguno']|99|0|0|0
140|R_10MhAVKKZzKoBUb|2024-01-29 09:44:11|585|21/12/2005|Mujer|Bachelor of Business Administration|Si||0 days 00:20:22|False|False|False|False|False|{'madrid'}|1|{'1'}|{'98'}|{'1'}|['madrid']|1|1|2|1|['madrid']|1|1|3|1|['madrid']|1|1|98|1|['madrid']|1|1|98|1|['madrid', ' chamartin']|2|1|98|1|['madrid']|1|1|2|1|['madrid']|1|1|2|1|['madrid']|1|1|3|1|['madrid']|1|1|98|1|False|1|1|['madrid']|1|1|3|1
140|R_2GwQXRKgRevnsbH|2024-02-10 14:29:52|585|11/08/2005|Mujer|Bachelor of Business Administration|Si||0 days 00:18:17|False|False|False|False|False|{'madrid'}|1|{'1'}|{'98'}|{'1'}|['madrid', ' chamartin']|2|0|0|0|['madrid']|1|1|3|1|['madrid']|1|1|98|1|['madrid']|1|1|98|1|['madrid', ' chamartin']|2|1|98|1|['madrid']|1|1|5|1|['madrid']|1|1|98|1|['madrid']|1|1|3|1|['madrid']|1|1|98|1|False|1|2|['madrid']|1|1|3|1
332|R_7YfOgJ3C2b7kPIt|2024-01-28 19:41:37|290|21/06/2005|Mujer|Double degree in Business Administration and AI for Business|Si||0 days 00:09:23|False|False|False|False|False|{'madrid'}|1|{'0'}|{'0'}|{'0'}|['ninguno']|0|1|98|3|['madrid']|1|0|98|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['madrid']|1|0|0|0|['madrid']|1|0|0|0|['ninguno']|0|0|0|0|['madrid']|1|0|99|99|['ninguno']|0|0|0|0|False|1|1|['madrid']|1|0|0|0
332|R_2OZlF6EBDpFbfxc|2024-04-19 11:13:57|290|14/03/2005|Hombre|Bachelor of Business Administration|Si||0 days 00:08:22|False|False|False|False|False|{'madrid'}|1|{'0'}|{'0'}|{'0'}|['ninguno']|2|0|0|0|['madrid']|1|0|98|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['madrid']|1|0|0|0|['madrid']|1|0|0|0|['ninguno']|0|0|0|0|['madrid']|1|0|99|99|['ninguno']|0|0|0|0|False|1|2|['madrid']|1|0|0|0
374|R_25BLehYVeqX5cDZ|2024-01-27 18:34:22|1082|10/11/2004|Hombre|Bachelor of Business Administration|Si||0 days 00:24:07|True|True|False|False|False|{'sevilla', 'madrid'}|2|{'0'}|{'98'}|{'3'}|['sevilla']|1|0|99|1|['sevilla', ' madrid', ' extremadura', ' castilla y leon', ' andalucia', ' asturias', ' cataluña', ' canarias', ' baleares', ' cantabria', ' galicia', ' la rioja', ' murcia', ' comunidad de madrid']|14|0|0|0|['sevilla']|1|0|0|0|['sevilla']|1|0|0|0|['madrid', ' sevilla']|2|0|0|3|['madrid', ' sevilla']|2|0|98|99|['sevilla']|1|0|0|0|['sevilla', ' madrid', ' extremadura', ' castilla y leon', ' cataluña', ' andalucia', ' asturias', ' canarias', ' castilla-la mancha', ' baleares', ' cantabria', ' galicia', ' la rioja', ' murcia']|14|0|0|0|['sevilla']|1|0|0|0|True|2|1|['madrid', ' extremadura', ' castilla y leon', ' andalucia', ' asturias', ' cataluña', ' canarias', ' baleares', ' cantabria', ' galicia', ' la rioja', ' murcia', ' comunidad de madrid']|13|0|0|0
374|R_2B4k00rkNL5a6Kf|2024-02-20 11:05:42|1082|11/01/2004|Mujer|Bachelor of Business Administration|Si||0 days 13:17:02|True|True|False|False|False|{'sevilla', 'madrid'}|2|{'0'}|{'98'}|{'3'}|['extremadura', ' castilla la mancha', ' andalucia', ' castilla y leon', ' asturia', ' cataluña', ' canarias', ' la rioja', ' galicia', ' murcia', ' comunidad de madrid', ' comunidad valenciana', ' baleares', ' cantabria']|14|0|0|0|['sevilla', ' madrid', ' extremadura', ' castilla y leon', ' andalucia', ' asturias', ' cataluña', ' canarias', ' baleares', ' cantabria', ' galicia', ' la rioja', ' murcia']|13|0|0|0|['sevilla']|1|0|0|0|['sevilla']|1|0|0|0|['madrid', ' sevilla']|2|0|0|3|['sevilla', ' barcelona', ' madrid', ' valencia', ' alicante', ' murcia']|6|0|0|0|['sevilla']|1|0|0|0|['sevilla', ' madrid', ' extremadura', ' castilla y leon', ' cataluña', ' andalucia', ' asturias', ' canarias', ' castilla-la mancha', ' baleares', ' cantabria', ' galicia', ' la rioja', ' murcia']|14|0|0|0|['sevilla']|1|0|0|0|True|2|2|['madrid', ' extremadura', ' castilla y leon', ' andalucia', ' asturias', ' cataluña', ' canarias', ' baleares', ' cantabria', ' galicia', ' la rioja', ' murcia', ' comunidad de madrid']|13|0|0|0
468|R_2KshwDo4DO1bVA8|2024-01-27 17:11:57|386|10/11/2005|Mujer|Bachelor of Business Administration|Si||0 days 00:22:21|False|False|False|False|False|{'madrid'}|1|{'0'}|{'0'}|{'0'}|['madrid', ' navarra']|2|0|3|5|['ninguno']|99|1|98|3|['ninguno']|0|0|0|0|['ninguno']|0|0|0|3|['madrid']|1|0|0|3|['madrid']|1|0|0|0|['ninguno']|0|0|0|0|['ninguno']|99|1|98|3|['ninguno']|0|0|0|98|False|3|1|['ninguno']|99|1|0|3
468|R_2ZKpuCweam6zzRb|2024-03-05 12:22:29|386|24/02/2004|Hombre|Bachelor of Business Administration|Si||0 days 00:08:19|False|False|False|False|False|{'madrid'}|1|{'0'}|{'0'}|{'0'}|['ninguno']|0|0|98|98|['ninguno']|99|1|98|3|['ninguno']|0|0|0|0|['ninguno']|0|0|0|3|['madrid']|1|0|0|3|['madrid', ' castilla la mancha', ' navarra', ' extremadura']|4|0|0|3|['ninguno']|0|0|0|0|['ninguno']|99|1|98|3|['ninguno']|0|0|0|0|False|3|2|['ninguno']|99|1|0|3
999|R_2KshwDo4DO1bVA8|2024-01-27 17:11:57|129|10/11/2005|Mujer|Bachelor of Business Administration|Si||0 days 00:22:21|False|False|False|False|False|{'sevilla'}|1|{'0'}|{'0'}|{'0'}|['sevilla']|1|0|0|0|['ninguno']|99|99|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['sevilla']|1|0|0|0|['sevilla']|1|0|0|0|['ninguno']|0|0|0|0|['ninguno']|99|99|0|0|['ninguno']|0|0|0|0|False|2|1|['ninguno']|0|0|0|0
999|R_4YVQiRTtSvf1KjD|2024-04-26 11:34:52|129|27/01/2001|Mujer|MSc in Marketing Management|Si||0 days 00:10:59|False|False|False|False|False|{'sevilla'}|1|{'0'}|{'0'}|{'0'}|['sevilla']|1|0|0|0|['ninguno']|99|0|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['sevilla']|1|0|0|0|['ninguno']|99|0|0|0|['sevilla']|1|0|0|0|['ninguno']|99|99|0|0|['ninguno']|0|0|0|0|False|2|2|['ninguno']|0|0|0|0
1027|R_2dWzpgQ96duswHD|2024-01-31 11:01:22|363|23/11/2004|Mujer|Bachelor of Business Administration|Si||0 days 00:11:32|False|False|False|False|False|{'parla'}|1|{'0'}|{'3'}|{'3'}|['parla']|1|0|0|0|['parla']|1|1|3|3|['parla']|1|0|0|0|['parla']|1|0|0|3|['parla']|1|0|0|3|['parla']|1|0|98|3|['parla']|1|0|0|0|['parla']|1|1|3|3|['parla']|1|0|0|0|False|1|1|['parla']|1|1|3|3
